SurvYear,SurvMonth,GrYrMo,OrigSeq,COL,DEPT,MAJ,Level,Gender,Ethnic,AgeAtGrad,Disability,Birthdate,StartSem,StartYr,PrevBachMajor,PrevBachInstitu,PrevBachYr,_ndPrevBachMaj,_ndPrevBachInst,_ndPrevBachYr,PrevMastfMajor,PrevMastInst,PrevMastYr,_ndPrevMastMajor,_ndPrevMastInstitu,_ndPrevMastYr,PrevDoctMajor,PrevDoctInst,PrevDoctYr,Reason1st,Reason2nd,Reason3rd,ReasonOth,GenRating,FacKnowledge,FacTeaching,FacResInClass,FacOutsideClass,DeptStaff,FacIntSuccess,ApplicCourses,CourseAvail,OppWorkResProj,ClassLabQual,ResLabQual,GrAdvisAvail,GrAdvAdmin,GrAdvPersonal,GrAdvCareerAdv,GeAdvUsefulAccurate,GrAdvPlcmt,MajProfAvail,MajProfAcad,MajProfDis_Thes,MajProfCareerAdv,MajProfUsefulAccurate,MajProfPlcemt,ConfAttnd,ConfPapers,JournlPublicn,NearFuturePlans,FutureRelToDeg,FutureEmployType,Expense,Housing,CulturalOps,SocialOps,Collegiality,InternatStuAcceptance,MinorityAcceptance,LibBooks,LibJournl,LibRef,LibStudy,LibILL,LibUsrAsst,LibHrs,OwnPC,BorrowPC,CompGen,CompUsage,CompLocaOrig,CompLocaNorm,CompAvail,CompQual,CompUsrAsst,UC_SUB,RecCntr,HalthServ,CounselingCntr,CareerP_P,StuPublica,Parking,BusServ,Security,StuAttny,Bookstore,DisabStuSrv,GradAdmis,GradSchool,RegisRegistrar,Bursr,InternatProg,FinAid,ParentsInCollege,FinSupDataQual,Fin_RA,Fin_TA,Fin_GA,Fin_PT,Fin_FT,Fin_Scholarsh,Fin_Spouse,Fin_Parent,Fin_Loan,Fin_Grant,Fin_Trust,Fin_Employer,Fin_Military,Fin_Govt,Fin_Oth,Fin_Credit_Cards,Fin_OthDefined
1993,May,199305,14,AS,PSY,Psychology,Mast.,F,W,25,No,,Fall,1990,Psychology,?,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Location,blank,,2,4,3,3,2,2,4,5,1,3,,2,2,2,1,2,2,1,4,4,3,4,4,3,,,,Cont. Educ.,N/A,N/A,5,5,3,2,5,,,4,4,4,2,5,4,2,No,N/A,,4,AT/HSC,MULTI,4,4,4,4,5,4,5,,5,1,2,2,,2,,3,2,,1,,1,N/A,OK,,0.2,,0.2,,,,,0.6,,,,,,,,
1993,May,199305,15,BA,MKT,Marketing,Mast.,F,W,24,No,,Fall,1991,Marketing,TTU,1991,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,EmployedLubbock,Other,Cost,HIGHLY regarded Marketing department,4,5,5,4,5,5,5,4,5,3,4,3,5,5,4,4,5,4,5,5,,4,5,3,,,,?,?,?,5,4,5,5,5,,,4,4,4,5,5,5,2,Yes,N/A,,5,AT/BA,ATLC/BA,4,4,5,4,5,5,,3,4,4,5,5,,4,,4,4,2,2,,1,N/A,OK,,,,,,,,0.6,,,,,,,0.4,,Resident Assistant
1993,May,199305,16,BA,MGT,Management-HOM,Mast.,F,W,31,No,,Spr.,1992,Marketing,TTU,1980,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Location,WorkWParticFac,,5,5,4,5,5,3,5,5,4,5,,,5,4,5,5,4,5,4,4,,5,5,5,,,,New job,?,?,3,,4,3,4,,,1,1,1,2,,2,1,No,N/A,,5,ATLC,ATLC,4,4,4,4,,,,,4,1,,4,3,4,,3,3,1,3,,2,N/A,OK,,0.2,,,,,,0.5,0.2,0.1,,,,,,,
1993,May,199305,17,AS,ENGL,English,Mast.,F,W,23,No,,Sum.,1992,English,TTU,1990,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,EmployedLubbock,PrevAtTTU,blank,,5,5,4,5,5,5,5,4,5,5,1,1,5,5,5,5,5,5,5,5,5,3,3,3,,,,Cont. Educ.,N/A,N/A,3,,,4,3,,,3,4,3,4,5,5,5,Yes,N/A,,4,ENGL,DEPT-AS-HU,4,1,5,5,5,5,,,3,3,5,,,3,,5,4,,,,,N/A,OK,,0.5,,,,,0.5,,,,,,,,,,
1993,May,199305,18,HS,ENRHM,RHIM,Mast.,F,W,29,No,,Sum.,1991,Communications,Angelo State,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Location,Facilities,Scholarship,,3,4,3,4,3,5,5,4,5,4,4,3,4,5,2,2,1,1,5,5,5,5,5,4,,,,Searching,N/A,N/A,3,,4,4,4,,,3,2,1,1,4,3,3,Yes,N/A,,2,H S,DEPT-HS,3,4,3,4,5,,,4,,1,3,3,,4,,1,1,3,2,,3,N/A,OK,0.1,0.1,,,,,0.8,,,,,,,,,,
1993,May,199305,19,ED,EP&L,Higher Education,Doct.,F,W,47,No,,Fall,1989,Journalism,Arkansas,1968,N/A,N/A,,Mass Comm.,?,1983,N/A,N/A,,N/A,N/A,,Other,Major program,PrevAtTTU,Employed on campus,5,5,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,1,Cont. Employ.,?,?,3,,4,2,4,,,4,3,4,4,4,5,3,Yes,N/A,,1,N/A,N/A,,,,1,4,4,4,4,5,3,,3,4,4,,,5,,3,,,N/A,OK,,,,,1,,,,,,,,,,,,
1993,May,199305,20,MC,MCOM,Mass Comm.,Mast.,M,N,24,No,,Sum.,1992,Telecomm,TTU,1992,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Cost,Scholarship,ResearchInterest,,4,4,4,4,5,5,5,4,3,5,3,4,5,5,5,4,5,4,5,5,5,4,5,4,,,,Searching,N/A,N/A,3,3,3,4,4,5,5,2,1,2,1,2,3,2,Yes,N/A,,4,ATLC,ATLC,2,4,3,3,4,5,,2,3,,1,2,,3,,3,4,3,3,4,3,N/A,OK,,,,,,0.1,,0.9,,,,,,,,,
1993,May,199305,21,ED,EP&L,Educ. Psychology,Mast.,M,W,48,No,,Fall,1989,History,Armstrong St. (GA),1968,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,PrevAtTTU,EmployedLubbock,WorkWParticFac,,4,5,4,3,5,5,5,4,2,1,4,3,3,3,4,5,5,3,4,5,3,4,5,3,,,,New job,?,?,2,,4,5,5,,,2,2,3,2,,5,1,Yes,N/A,,4,ATLC,ATLC,4,4,5,4,5,,4,5,5,1,4,4,,3,,5,5,5,5,,,N/A,OK,,,,,0.8,,,0.05,,,0.15,,,,,,
1993,May,199305,22,GR,INTERDIS,Interdis. Studies,Mast.,M,W,25,No,,Spr.,1991,Public Relations,TTU,1990,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Cost,Location,Major program,,4,4,4,2,4,5,5,4,4,3,2,2,,,,,,,4,4,,4,4,,,,,Cont. Employ.,?,?,4,4,3,3,2,,,5,1,4,2,5,4,4,Yes,N/A,,1,N/A,N/A,,,,,5,,,,,1,,1,,1,,4,5,2,2,,,N/A,OK,,,,,1,,,,,,,,,,,,
1993,May,199305,23,AS,HESS,Sports Management,Mast.,M,W,23,No,,Fall,1991,Corp. Video,Abilene Chr.,1991,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,TA/RA,Cost,,4,4,3,4,4,4,3,5,5,5,4,4,5,5,5,5,5,2,5,5,4,4,4,2,,,,New job,?,?,5,4,4,4,4,,,2,2,2,4,3,2,3,Yes,N/A,,3,ATLC,ATLC,4,3,4,4,5,5,,,4,3,4,4,,4,,5,5,5,4,,4,N/A,OK,,0.2,,0.15,,,0.25,,0.2,0.2,,,,,,,
1993,May,199305,24,EN,I E,Industrial Engr.,Mast.,M,N,25,No,,Fall,1991,Mechanical Engr.,[India],,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Cost,Scholarship,,3,3,3,2,1,1,3,2,3,2,2,3,4,5,5,4,5,4,5,5,4,5,4,5,,,,Searching,N/A,N/A,4,3,1,1,1,1,1,3,3,3,3,3,3,1,No,N/A,,5,ATLC,ATLC,3,3,1,3,4,5,,1,3,4,2,4,5,5,,5,4,4,4,3,4,N/A,OK,0.5,,,,,,,,,0.25,0.25,,,,,,
1993,May,199305,25,MC,MCOM,Mass Comm.,Mast.,F,?,28,Yes,,Spr.,1987,Liberal Arts,Austin C.,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Cost,Major program,EmployedLubbock,,3,3,4,5,5,5,5,5,5,5,4,4,5,5,,4,4,,5,5,5,5,5,,,,,Cont. Educ.,N/A,N/A,5,3,1,1,4,,4,2,2,2,2,4,4,1,Yes,N/A,,5,AT/MCOM,MULTI,2,4,2,4,5,1,,4,4,1,2,2,4,4,,4,5,1,1,1,1,N/A,OK,,,,,1,,,,,,,,,,,,
1993,May,199305,26,AG,AAEC,Ag. & Applied Eco.,Mast.,M,?,26,No,,Sum.,1991,Ag. Eco.,Oregon St.,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,TA/RA,Location,Major program,,4,3,3,2,1,4,1,3,3,1,3,1,3,1,1,1,1,1,,,,,,,,,,Other,N/A,N/A,3,3,3,4,3,,,4,3,3,4,4,4,,Yes,N/A,,2,?,?,,,,,,,,2,2,4,,,,4,1,4,4,4,4,,5,N/A,OK,0.75,,,,,,,,0.25,,,,,,,,
1993,May,199305,27,GR,INTERDIS,Interdis. Studies,Mast.,M,N,,No,,Fall,1990,Computer Engr.,?,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Gen. educ. reputation,Cost,Scholarship,,4,4,4,4,4,4,4,2,1,3,4,4,1,1,1,1,1,1,3,4,4,3,4,3,,,,?,?,?,3,3,2,2,2,4,,4,4,4,5,3,4,3,No,N/A,,3,ATLC,ATLC,4,4,4,4,4,3,,,,1,4,4,,3,,,4,,,4,4,N/A,OK,,0.7,,,,,,,,,,,,,0.3,,[no response]
1993,May,199305,28,EN,C S,Computer Science,Mast.,M,N,25,No,,Fall,1991,Electrical Engr.,TTU,1989,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,blank,blank,,4,5,4,4,4,5,4,3,4,1,4,5,5,5,5,5,5,2,4,4,5,2,5,2,,,,?,?,?,2,4,3,3,,5,5,3,4,4,3,5,4,4,No,N/A,,5,C S,DEPT-EN,3,5,,5,5,,,4,4,2,5,5,,5,,5,5,5,5,5,,N/A,OK,0.9,,,,,,,0.1,,,,,,,,,
1993,May,199305,29,AS,CMLL,Romance Languages,Mast.,F,W,31,No,,Sum.,1991,International Ops,San Jose St.,1983,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,EmployedLubbock,blank,blank,,3,5,4,4,4,4,5,3,2,1,3,2,4,4,,3,4,,4,5,5,4,4,,,,,Cont. Educ.,N/A,N/A,3,3,3,3,4,,,4,4,4,4,3,3,3,Yes,N/A,,3,CMLL,DEPT-AS-HU,4,4,5,4,4,,,,1,2,,,,3,,4,5,3,1,4,,N/A,OK,,0.6,,,,,0.4,,,,,,,,,,
1993,May,199305,30,BA,FIN,Finance,Mast.,M,W,27,No,,Spr.,1992,Finance,A&M,1987,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Cost,blank,,4,5,4,3,5,5,4,4,4,4,4,4,3,4,4,3,4,3,5,5,4,4,4,2,,,,?,?,?,,,,,,,,4,2,2,4,3,4,2,No,N/A,,4,AT/BA,ATLC/BA,3,4,2,4,5,5,,2,4,4,4,4,,4,,4,4,4,4,,3,N/A,OK,,,,0.35,,,,,0.6,0.05,,,,,,,
1993,May,199305,31,BA,MGT,Management,Mast.,F,N,21,No,,Fall,1991,MIS,[France],1991,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Cost,Location,Other,Exchange program,4,4,3,2,4,2,3,3,1,3,5,4,5,5,4,2,4,2,4,4,,2,2,1,,,,Searching,N/A,N/A,3,4,2,4,4,2,3,3,2,2,3,4,4,5,No,N/A,,4,BA,BA,2,3,2,3,5,4,,1,3,1,3,4,,4,,1,2,1,1,4,,N/A,OK,,,,,,0.2,,0.8,,,,,,,,,
1993,May,199305,32,BA,MKT,Marketing,Mast.,F,W,25,No,,Spr.,1992,Marketing,TTU,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,FacultyRecommended,Major program,PrevAtTTU,,5,4,5,4,5,4,4,4,4,3,3,4,4,3,2,3,2,2,5,4,3,4,4,3,,,,New job,?,?,4,3,3,3,4,,,3,3,3,4,4,4,4,No,N/A,,4,AT/BA,ATLC/BA,4,4,4,4,5,4,3,4,4,2,2,1,4,4,,4,4,3,3,,1,N/A,OK,,,,0.25,,,,,0.75,,,,,,,,
1993,May,199305,33,AS,MATH,Mathematics,Mast.,M,W,24,No,,Fall,1991,Mathematics,Angelo State,1991,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,TA/RA,ResearchInterest,Major program,,4,4,4,3,5,3,4,4,4,4,,,4,4,4,3,4,3,4,4,5,4,4,4,,,1,Cont. Educ.,N/A,N/A,4,4,3,3,4,,,4,4,4,4,4,4,4,No,N/A,,3,MATH,DEPT-AS-SC,3,4,2,4,,,,,3,2,5,3,,2,,3,4,,4,,,N/A,OK,0.45,0.4,,0.1,,,,0.05,,,,,,,,,
1993,May,199305,34,GR,MUSM,Museum Science,Mast.,F,W,24,No,,Fall,1990,History,Texas,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Scholarship,Other,Museum,5,5,4,4,5,4,4,4,4,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,,,,Cont. Employ.,?,?,5,5,5,,4,,,5,5,5,5,5,5,5,Yes,N/A,,2,ATLC,ATLC,5,4,4,5,5,5,5,5,4,5,5,5,,5,,5,5,5,5,,5,N/A,OK,,,,0.1,,0.25,,0.65,,,,,,,,,
1993,May,199305,35,ED,EP&L,Instructional Technology,Mast.,F,W,42,No,,Sum.,1991,Secondary Educ.,McMurry,1972,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,WorkWParticFac,Major program,Location,,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,1,Searching,N/A,N/A,4,,,,4,,,5,5,5,5,5,5,5,Yes,N/A,,5,ATLC,ATLC,5,5,5,5,5,4,,,4,3,,,,4,,5,5,5,5,,,N/A,OK,,,,,1,,,,,,,,,,,,
1993,May,199305,36,BA,MGT,Management,Mast.,M,W,32,No,,Sum.,1991,General Studies,U.S.Military Academy,1983,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Other,Family/FriendsRecom'd,U.S. Army recommendation,4,4,4,3,5,4,4,4,4,4,3,3,5,5,4,5,5,5,5,5,5,4,4,4,,,,Cont. Employ.,?,?,4,4,4,4,4,,,4,4,4,4,3,4,2,Yes,N/A,,4,ATLC,ATLC,4,4,4,4,4,,,,,4,,,,4,,5,5,5,,,,N/A,OK,,,,,,,,,,,,,1,,,,
1993,May,199305,37,BA,MGT,Management,Mast.,F,?,,No,,Fall,1991,?,?,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,TA/RA,Gen. educ. reputation,,5,5,4,4,3,3,5,4,3,5,3,2,2,1,2,2,1,2,3,4,4,5,4,,,,,?,?,?,5,4,3,4,5,,,3,3,4,4,5,5,2,Yes,N/A,,5,BA,BA,3,2,1,4,,5,,,4,,,4,,4,,5,5,2,2,,1,N/A,No resp.,,,,,,,,,,,,,,,,,
1993,May,199305,38,AG,ANSC,Animal Breeding,Mast.,F,W,24,No,,Fall,1990,Animal Sci.,TTU,1990,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Location,WorkWParticFac,TA/RA,,4,4,4,3,5,3,4,3,4,5,4,4,3,2,2,2,2,2,4,5,4,5,4,5,,,1,New job,?,?,3,4,4,4,3,,,2,3,3,4,4,4,4,No,N/A,,5,ANSC,DEPT-AG,5,5,4,4,5,4,,,4,3,,4,,4,,3,5,4,4,,,N/A,OK,0.15,0.15,,,,,0.6,,,,0.1,,,,,,
1993,May,199305,39,AS,GEOS,Atmospheric Science,Mast.,M,W,29,No,,Fall,1986,Earth Science,Wilkes U.,1985,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,TA/RA,ResearchInterest,,5,5,5,3,5,3,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,,,,New job,?,?,4,5,4,5,5,,,5,5,5,5,4,5,4,No,N/A,,3,BA/ATMO,MULTI,4,4,4,5,5,4,,,,2,4,3,,5,,4,5,3,1,,,N/A,OK,,0.7,,0.1,,,,0.2,,,,,,,,,
1993,May,199305,40,EN,C E,Civil Engineering,Doct.,M,W,30,No,,Sum.,1988,Arch/CE,TTU,1985,N/A,N/A,,Civil Engr.,TTU,1988,N/A,N/A,,N/A,N/A,,PrevAtTTU,TA/RA,ResearchInterest,,5,5,5,4,4,5,5,4,3,5,4,3,5,5,4,5,5,4,5,5,4,5,5,4,,,6,New job,?,?,5,5,4,4,5,,,3,4,3,3,4,4,3,Yes,N/A,,5,C E,DEPT-EN,4,4,2,4,5,2,,4,4,2,4,4,4,4,4,4,4,4,2,,2,N/A,OK,0.65,0.3,,,,,,,0.05,,,,,,,,
1993,May,199305,41,VPA,ART,Studio Art,Mast.,M,W,38,Yes,,Fall,1990,Art,VCU-Richmond VA,1987,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Location,Cost,TA/RA,,4,5,5,5,4,5,4,3,5,4,4,4,3,3,1,3,4,,3,5,5,,,,,,,?,?,?,5,,4,3,,,,5,4,5,4,5,5,4,Yes,N/A,,1,N/A,N/A,,,,,,,,,,,,,,,,5,5,5,4,,4,N/A,OK,,0.35,0.15,,,0.01,,,0.16,,0.15,,,0.18,,,
1993,May,199305,42,BA,ACCT,Accounting,Doct.,M,W,43,No,,Fall,1989,Accounting,Arkansas,1987,N/A,N/A,,Accounting,Arkansas,1988,N/A,N/A,,N/A,N/A,,Family/FriendsRecom'd,TA/RA,WorkWParticFac,,5,5,4,4,4,4,5,4,4,3,,,4,4,3,4,4,4,5,5,5,5,5,5,,,,New job,?,?,4,4,4,4,4,,,4,4,4,2,4,4,4,Yes,N/A,,4,BA,BA,3,3,1,4,3,1,,,,1,3,3,,3,,,5,4,4,,,N/A,OK,,0.3,,,,0.1,0.3,,,,0.3,,,,,,
1993,May,199305,43,EN,I E,Systems & Engr. Mgt.,Mast.,M,W,31,No,,Spr.,1991,Mechanical Engr.,Tennessee,1984,N/A,N/A,,Mechanical Engr.,Texas-Arlington,1989,N/A,N/A,,N/A,N/A,,Other,Major program,Gen. educ. reputation,Company sponsored program,5,4,4,3,5,5,5,5,5,3,4,3,5,5,5,4,4,3,5,5,5,4,4,3,,,,Cont. Employ.,?,?,4,4,4,4,4,,,4,4,4,4,4,4,4,Yes,N/A,,3,E E,DEPT-EN,3,3,3,5,5,,,,,4,,,,4,,4,4,4,4,4,4,N/A,OK,,,,,,,,,,,,1,,,,,
1993,May,199305,44,BA,ISQS,Mgt. Info. Syst.,Doct.,M,W,29,No,,Spr.,1989,Physics,Iowa,,N/A,N/A,,Business,TTU,,N/A,N/A,,N/A,N/A,,ResearchInterest,WorkWParticFac,Major program,,5,4,4,5,4,3,4,5,4,4,1,1,4,4,3,3,3,4,5,4,5,5,5,5,,,2,New job,?,?,5,4,1,2,4,,,4,5,5,3,4,4,4,Yes,N/A,,5,BA,BA,4,4,4,4,4,4,4,3,3,3,4,4,4,3,,4,5,4,4,,4,N/A,OK,,0.3,,0.3,,0.1,,,0.2,0.1,,,,,,,
